sequence_id	enzyme_type	length	organism	ec_number	pfam_domains	active_site_ok	len_ok	description
tr|A0A376GZY3|A0A376GZY3_ENTGA	GAD	466	Enterococcus gallinarum	4.1.1.15	PF01276	Yes	Yes	tr|A0A376GZY3|A0A376GZY3_ENTGA Glutamate decarboxylase OS=Enterococcus gallinarum OX=1353 GN=gadB PE=3 SV=1
tr|A0A1W1WF42|A0A1W1WF42_SULTA	GAD	466	Sulfobacillus thermosulfidooxidans (strain DSM 9293 / VKM B-1269 / AT-1)	4.1.1.15	PF01276	Yes	Yes	tr|A0A1W1WF42|A0A1W1WF42_SULTA Glutamate decarboxylase OS=Sulfobacillus thermosulfidooxidans (strain DSM 9293 / VKM B-1269 / AT-1) OX=929705 GN=SAMN00768000_1836 PE=3 SV=1
tr|A0A1Q4PGK9|A0A1Q4PGK9_ECOLX	GAD	466	Escherichia coli	4.1.1.15	PF01276	Yes	Yes	tr|A0A1Q4PGK9|A0A1Q4PGK9_ECOLX Glutamate decarboxylase OS=Escherichia coli OX=562 GN=gadB_2 PE=3 SV=1
tr|A0A1Q2TST5|A0A1Q2TST5_9ENTE	GAD	466	Enterococcus sp. YS67	4.1.1.15	PF01276	Yes	Yes	tr|A0A1Q2TST5|A0A1Q2TST5_9ENTE Glutamate decarboxylase OS=Enterococcus sp. YS67 OX=1941119 GN=gadB PE=3 SV=1
tr|A0A1L8SVY3|A0A1L8SVY3_9ENTE	GAD	466	Enterococcus devriesei	4.1.1.15	PF01276	Yes	Yes	tr|A0A1L8SVY3|A0A1L8SVY3_9ENTE Glutamate decarboxylase OS=Enterococcus devriesei OX=319970 GN=RV00_GL001616 PE=3 SV=1
tr|A0A1L8SVW3|A0A1L8SVW3_9ENTE	GAD	466	Enterococcus devriesei	4.1.1.15	PF01276	Yes	Yes	tr|A0A1L8SVW3|A0A1L8SVW3_9ENTE Glutamate decarboxylase OS=Enterococcus devriesei OX=319970 GN=RV00_GL002247 PE=3 SV=1
tr|A0A1L4IYR5|A0A1L4IYR5_ECOLX	GAD	466	Escherichia coli	4.1.1.15	PF01276	Yes	Yes	tr|A0A1L4IYR5|A0A1L4IYR5_ECOLX Glutamate decarboxylase OS=Escherichia coli OX=562 GN=EN85_003239 PE=3 SV=1
tr|A0A1E5GS70|A0A1E5GS70_9ENTE	GAD	466	Enterococcus quebecensis	4.1.1.15	PF01276	Yes	Yes	tr|A0A1E5GS70|A0A1E5GS70_9ENTE Glutamate decarboxylase OS=Enterococcus quebecensis OX=903983 GN=BCR23_08825 PE=3 SV=1
tr|A0A0H3EHC9|A0A0H3EHC9_ECO8N	GAD	466	Escherichia coli O83:H1 (strain NRG 857C / AIEC)	4.1.1.15	PF01276	Yes	Yes	tr|A0A0H3EHC9|A0A0H3EHC9_ECO8N Glutamate decarboxylase OS=Escherichia coli O83:H1 (strain NRG 857C / AIEC) OX=685038 GN=NRG857_07375 PE=3 SV=1
tr|A0A0B5CMJ7|A0A0B5CMJ7_9ENTE	GAD	466	Enterococcus sp. JK29	4.1.1.15	PF01276	Yes	Yes	tr|A0A0B5CMJ7|A0A0B5CMJ7_9ENTE Glutamate decarboxylase OS=Enterococcus sp. JK29 OX=1555204 PE=3 SV=1
sp|Q8FHG5|DCEB_ECOL6	GAD	466	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	4.1.1.15	PF01276	Yes	Yes	sp|Q8FHG5|DCEB_ECOL6 Glutamate decarboxylase beta OS=Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC) OX=199310 GN=gadB PE=3 SV=2
sp|Q1IAK7|DCHS_PSEE4	HDC	403	Pseudomonas entomophila (strain L48)	4.1.1.22	PF01276	Yes	No	sp|Q1IAK7|DCHS_PSEE4 Histidine decarboxylase OS=Pseudomonas entomophila (strain L48) OX=384676 GN=hdc PE=3 SV=1
tr|A0AAU0SNL3|A0AAU0SNL3_9PSED	HDC	404	Pseudomonas sp. CCI1.1	4.1.1.22	PF01276	Yes	No	tr|A0AAU0SNL3|A0AAU0SNL3_9PSED Histidine decarboxylase OS=Pseudomonas sp. CCI1.1 OX=3048613 GN=hdc PE=3 SV=1
tr|A0A7Z3AKM4|A0A7Z3AKM4_9PSED	HDC	404	Pseudomonas sp. ADAK18	4.1.1.22	PF01276	Yes	No	tr|A0A7Z3AKM4|A0A7Z3AKM4_9PSED Histidine decarboxylase OS=Pseudomonas sp. ADAK18 OX=2730848 GN=hdc PE=3 SV=1
tr|A0A6I3WAY1|A0A6I3WAY1_9PSED	HDC	404	Pseudomonas spelaei	4.1.1.22	PF01276	Yes	No	tr|A0A6I3WAY1|A0A6I3WAY1_9PSED Histidine decarboxylase OS=Pseudomonas spelaei OX=1055469 GN=hdc PE=3 SV=1
tr|A0A3E1HVD4|A0A3E1HVD4_9PSED	HDC	404	Pseudomonas sp. GL93	4.1.1.22	PF01276	Yes	No	tr|A0A3E1HVD4|A0A3E1HVD4_9PSED Histidine decarboxylase OS=Pseudomonas sp. GL93 OX=2014741 GN=hdc PE=3 SV=1
sp|P95477|DCHS_PSEFL	HDC	405	Pseudomonas fluorescens	4.1.1.22	PF01276	Yes	No	sp|P95477|DCHS_PSEFL Histidine decarboxylase OS=Pseudomonas fluorescens OX=294 GN=hdc PE=3 SV=1
tr|A0A4U3I666|A0A4U3I666_9PSED	HDC	407	Pseudomonas sp. CFBP13528	4.1.1.22	PF01276	Yes	No	tr|A0A4U3I666|A0A4U3I666_9PSED Histidine decarboxylase OS=Pseudomonas sp. CFBP13528 OX=2184006 GN=hdc PE=3 SV=1
tr|A0A2N1E1Q4|A0A2N1E1Q4_PSEFL	HDC	407	Pseudomonas fluorescens	4.1.1.22	PF01276	Yes	No	tr|A0A2N1E1Q4|A0A2N1E1Q4_PSEFL Histidine decarboxylase OS=Pseudomonas fluorescens OX=294 GN=hdc PE=3 SV=1
tr|A0A1B5CV54|A0A1B5CV54_9PSED	HDC	407	Pseudomonas sp. 44 R 15	4.1.1.22	PF01276	Yes	No	tr|A0A1B5CV54|A0A1B5CV54_9PSED Histidine decarboxylase OS=Pseudomonas sp. 44 R 15 OX=1844105 GN=hdc PE=3 SV=1
tr|A0A7X1G3A5|A0A7X1G3A5_9PSED	HDC	408	Pseudomonas baltica	4.1.1.22	PF01276	Yes	No	tr|A0A7X1G3A5|A0A7X1G3A5_9PSED Histidine decarboxylase OS=Pseudomonas baltica OX=2762576 GN=hdc PE=3 SV=1
tr|A0A558FFT4|A0A558FFT4_9PSED	HDC	408	Pseudomonas sp. H3(2019)	4.1.1.22	PF01276	Yes	No	tr|A0A558FFT4|A0A558FFT4_9PSED Histidine decarboxylase OS=Pseudomonas sp. H3(2019) OX=2598724 GN=hdc PE=3 SV=1
tr|A0A423H9B8|A0A423H9B8_9PSED	HDC	408	Pseudomonas brassicacearum	4.1.1.22	PF01276	Yes	No	tr|A0A423H9B8|A0A423H9B8_9PSED Histidine decarboxylase OS=Pseudomonas brassicacearum OX=930166 GN=hdc PE=3 SV=1
tr|A0A2N8C9I4|A0A2N8C9I4_9PSED	HDC	408	Pseudomonas sp. FW306-2-11AA	4.1.1.22	PF01276	Yes	No	tr|A0A2N8C9I4|A0A2N8C9I4_9PSED Histidine decarboxylase OS=Pseudomonas sp. FW306-2-11AA OX=2070663 GN=hdc PE=3 SV=1
tr|A0A1J0ESR6|A0A1J0ESR6_9PSED	HDC	408	Pseudomonas frederiksbergensis	4.1.1.22	PF01276	Yes	No	tr|A0A1J0ESR6|A0A1J0ESR6_9PSED Histidine decarboxylase OS=Pseudomonas frederiksbergensis OX=104087 GN=hdc PE=3 SV=1
tr|A0A1H5ENP4|A0A1H5ENP4_9PSED	HDC	408	Pseudomonas frederiksbergensis	4.1.1.22	PF01276	Yes	No	tr|A0A1H5ENP4|A0A1H5ENP4_9PSED Histidine decarboxylase OS=Pseudomonas frederiksbergensis OX=104087 GN=hdc PE=3 SV=1
tr|A0A1H3J8V4|A0A1H3J8V4_9PSED	HDC	408	Pseudomonas sp. NFIX28	4.1.1.22	PF01276	Yes	No	tr|A0A1H3J8V4|A0A1H3J8V4_9PSED Histidine decarboxylase OS=Pseudomonas sp. NFIX28 OX=1566235 GN=hdc PE=3 SV=1
tr|A0A089YPE5|A0A089YPE5_9PSED	HDC	408	Pseudomonas rhizosphaerae	4.1.1.22	PF01276	Yes	No	tr|A0A089YPE5|A0A089YPE5_9PSED Histidine decarboxylase OS=Pseudomonas rhizosphaerae OX=216142 GN=hdc PE=3 SV=1
tr|A0A8H9Z6U2|A0A8H9Z6U2_9PSED	HDC	427	Pseudomonas sp. BW16M2	4.1.1.22	PF01276	Yes	No	tr|A0A8H9Z6U2|A0A8H9Z6U2_9PSED Histidine decarboxylase OS=Pseudomonas sp. BW16M2 OX=2745489 GN=hdc PE=3 SV=1
tr|A0A7W2JYD4|A0A7W2JYD4_9PSED	HDC	427	Pseudomonas mosselii	4.1.1.22	PF01276	Yes	No	tr|A0A7W2JYD4|A0A7W2JYD4_9PSED Histidine decarboxylase OS=Pseudomonas mosselii OX=78327 GN=hdc PE=3 SV=1
tr|A0A923G8E8|A0A923G8E8_9PSED	HDC	431	Pseudomonas peradeniyensis	4.1.1.22	PF01276	Yes	No	tr|A0A923G8E8|A0A923G8E8_9PSED Histidine decarboxylase OS=Pseudomonas peradeniyensis OX=2745488 GN=hdc PE=3 SV=1
tr|A0A2W7KN48|A0A2W7KN48_9PSED	HDC	431	Pseudomonas sp. 2848	4.1.1.22	PF01276	Yes	No	tr|A0A2W7KN48|A0A2W7KN48_9PSED Histidine decarboxylase OS=Pseudomonas sp. 2848 OX=2183926 GN=hdc PE=3 SV=1
tr|A0A2V4IEI9|A0A2V4IEI9_9PSED	HDC	431	Pseudomonas soli	4.1.1.22	PF01276	Yes	No	tr|A0A2V4IEI9|A0A2V4IEI9_9PSED Histidine decarboxylase OS=Pseudomonas soli OX=1306993 GN=hdc PE=3 SV=1
tr|A0A2L0LKS9|A0A2L0LKS9_9PSED	HDC	431	Pseudomonas sp. PONIH3	4.1.1.22	PF01276	Yes	No	tr|A0A2L0LKS9|A0A2L0LKS9_9PSED Histidine decarboxylase OS=Pseudomonas sp. PONIH3 OX=1636610 GN=hdc PE=3 SV=1
tr|A0A1H8Z6E9|A0A1H8Z6E9_9PSED	HDC	431	Pseudomonas soli	4.1.1.22	PF01276	Yes	No	tr|A0A1H8Z6E9|A0A1H8Z6E9_9PSED Histidine decarboxylase OS=Pseudomonas soli OX=1306993 GN=hdc PE=3 SV=1
tr|A0A0F7XYJ8|A0A0F7XYJ8_9PSED	HDC	431	Pseudomonas sp. CCOS 191	4.1.1.22	PF01276	Yes	No	tr|A0A0F7XYJ8|A0A0F7XYJ8_9PSED Histidine decarboxylase OS=Pseudomonas sp. CCOS 191 OX=1649877 GN=hdc PE=3 SV=1
tr|A0A844EAN4|A0A844EAN4_9LACO	HDC	309	Lentilactobacillus parabuchneri	4.1.1.22	PF01276	Yes	No	tr|A0A844EAN4|A0A844EAN4_9LACO Histidine decarboxylase proenzyme OS=Lentilactobacillus parabuchneri OX=152331 GN=GKC44_02045 PE=4 SV=1
tr|B3Y006|B3Y006_STAEP	HDC	310	Staphylococcus epidermidis	4.1.1.22	PF01276	Yes	No	tr|B3Y006|B3Y006_STAEP Histidine decarboxylase proenzyme OS=Staphylococcus epidermidis OX=1282 GN=hdcA PE=4 SV=1
tr|A9IZZ1|A9IZZ1_STACP	HDC	310	Staphylococcus capitis	4.1.1.22	PF01276	Yes	No	tr|A9IZZ1|A9IZZ1_STACP Histidine decarboxylase proenzyme OS=Staphylococcus capitis OX=29388 GN=hdcA PE=4 SV=1
tr|A0A380GYH1|A0A380GYH1_9STAP	HDC	310	Staphylococcus saccharolyticus	4.1.1.22	PF01276	Yes	No	tr|A0A380GYH1|A0A380GYH1_9STAP Histidine decarboxylase proenzyme OS=Staphylococcus saccharolyticus OX=33028 GN=hdcA PE=4 SV=1
tr|R9WJ15|R9WJ15_LIMRT	HDC	311	Limosilactobacillus reuteri I5007	4.1.1.22	PF01276	Yes	No	tr|R9WJ15|R9WJ15_LIMRT Histidine decarboxylase proenzyme OS=Limosilactobacillus reuteri I5007 OX=1340495 GN=LRI_1920 PE=4 SV=1
tr|N9W9K1|N9W9K1_9CLOT	HDC	311	Clostridium thermobutyricum	4.1.1.22	PF01276	Yes	No	tr|N9W9K1|N9W9K1_9CLOT Histidine decarboxylase proenzyme OS=Clostridium thermobutyricum OX=29372 GN=HMPREF1092_02821 PE=4 SV=1
tr|M5J5F0|M5J5F0_9LACO	HDC	311	Ligilactobacillus saerimneri 30a	4.1.1.22	PF01276	Yes	No	tr|M5J5F0|M5J5F0_9LACO Histidine decarboxylase proenzyme OS=Ligilactobacillus saerimneri 30a OX=1227363 GN=D271_02054 PE=4 SV=1
tr|E7AXS8|E7AXS8_STRTR	HDC	311	Streptococcus thermophilus	4.1.1.22	PF01276	Yes	No	tr|E7AXS8|E7AXS8_STRTR Histidine decarboxylase proenzyme OS=Streptococcus thermophilus OX=1308 GN=hdcA PE=4 SV=1
tr|E0WF75|E0WF75_STRTR	HDC	311	Streptococcus thermophilus	4.1.1.22	PF01276	Yes	No	tr|E0WF75|E0WF75_STRTR Histidine decarboxylase proenzyme OS=Streptococcus thermophilus OX=1308 GN=hdcA PE=4 SV=1
tr|C2EUU3|C2EUU3_9LACO	HDC	311	Histidine decarboxylase	4.1.1.22	PF01276	Yes	No	tr|C2EUU3|C2EUU3_9LACO Histidine decarboxylase proenzyme OS=Limosilactobacillus vaginalis DSM 5837 = ATCC 49540 OX=1423814 GN=HMPREF0549_1229 PE=4 SV=1
tr|A5VMJ7|A5VMJ7_LIMRD	HDC	311	Limosilactobacillus reuteri (strain DSM 20016)	4.1.1.22	PF01276	Yes	No	tr|A5VMJ7|A5VMJ7_LIMRD Histidine decarboxylase proenzyme OS=Limosilactobacillus reuteri (strain DSM 20016) OX=557436 GN=Lreu_1832 PE=4 SV=1
tr|A0AB33BJQ7|A0AB33BJQ7_9LACO	HDC	311	Fructilactobacillus lindneri	4.1.1.22	PF01276	Yes	No	tr|A0AB33BJQ7|A0AB33BJQ7_9LACO Histidine decarboxylase proenzyme OS=Fructilactobacillus lindneri OX=53444 GN=AYR59_06675 PE=4 SV=1
tr|A0AAE6P0K8|A0AAE6P0K8_9LACO	HDC	311	Fructilactobacillus fructivorans	4.1.1.22	PF01276	Yes	No	tr|A0AAE6P0K8|A0AAE6P0K8_9LACO Histidine decarboxylase proenzyme OS=Fructilactobacillus fructivorans OX=1614 GN=LF543_00500 PE=4 SV=1
tr|A0A7X9S7Q5|A0A7X9S7Q5_9CLOT	HDC	311	Clostridium sp. SM-530-WT-3G	4.1.1.22	PF01276	Yes	No	tr|A0A7X9S7Q5|A0A7X9S7Q5_9CLOT Histidine decarboxylase proenzyme OS=Clostridium sp. SM-530-WT-3G OX=2725303 GN=HF850_14500 PE=4 SV=1
tr|A0A510WS21|A0A510WS21_9LACO	HDC	311	Ligilactobacillus aviarius	4.1.1.22	PF01276	Yes	No	tr|A0A510WS21|A0A510WS21_9LACO Histidine decarboxylase proenzyme OS=Ligilactobacillus aviarius OX=1606 GN=LAV01_02030 PE=4 SV=1
tr|A0A417ZC49|A0A417ZC49_9LACO	HDC	311	Bombilactobacillus bombi	4.1.1.22	PF01276	Yes	No	tr|A0A417ZC49|A0A417ZC49_9LACO Histidine decarboxylase proenzyme OS=Bombilactobacillus bombi OX=1303590 GN=DS832_02565 PE=4 SV=1
tr|A0A317GG81|A0A317GG81_LIMRT	HDC	311	Limosilactobacillus reuteri	4.1.1.22	PF01276	Yes	No	tr|A0A317GG81|A0A317GG81_LIMRT Histidine decarboxylase proenzyme OS=Limosilactobacillus reuteri OX=1598 GN=DKZ23_08025 PE=4 SV=1
tr|A0A1V4STV5|A0A1V4STV5_9CLOT	HDC	311	Clostridium thermobutyricum DSM 4928	4.1.1.22	PF01276	Yes	No	tr|A0A1V4STV5|A0A1V4STV5_9CLOT Histidine decarboxylase proenzyme OS=Clostridium thermobutyricum DSM 4928 OX=1121339 GN=hdcA PE=4 SV=1
tr|A0A1V4FJJ1|A0A1V4FJJ1_LIMRT	HDC	311	Limosilactobacillus reuteri	4.1.1.22	PF01276	Yes	No	tr|A0A1V4FJJ1|A0A1V4FJJ1_LIMRT Histidine decarboxylase proenzyme OS=Limosilactobacillus reuteri OX=1598 GN=B5D07_08705 PE=4 SV=1
tr|A0A0K6GJ74|A0A0K6GJ74_LIMRT	HDC	311	Limosilactobacillus reuteri	4.1.1.22	PF01276	Yes	No	tr|A0A0K6GJ74|A0A0K6GJ74_LIMRT Histidine decarboxylase proenzyme OS=Limosilactobacillus reuteri OX=1598 GN=hdcA PE=4 SV=1
tr|A0A5P0J8H1|A0A5P0J8H1_ECOLX	LDC	541	Escherichia coli	4.1.1.18	PF01276	Yes	No	tr|A0A5P0J8H1|A0A5P0J8H1_ECOLX lysine decarboxylase (Fragment) OS=Escherichia coli OX=562 GN=EIZ93_10845 PE=3 SV=1
tr|A0A376TMI2|A0A376TMI2_ECOLX	LDC	643	Escherichia coli	4.1.1.18	PF01276	Yes	Yes	tr|A0A376TMI2|A0A376TMI2_ECOLX lysine decarboxylase OS=Escherichia coli OX=562 GN=cadA_2 PE=3 SV=1
tr|A0A454A1H7|A0A454A1H7_ECOL5	LDC	708	Escherichia coli O6:K15:H31 (strain 536 / UPEC)	4.1.1.18	PF01276	Yes	Yes	tr|A0A454A1H7|A0A454A1H7_ECOL5 Lysine decarboxylase OS=Escherichia coli O6:K15:H31 (strain 536 / UPEC) OX=362663 GN=ECP_0327 PE=3 SV=1
tr|A0A5F1HTE9|A0A5F1HTE9_9ESCH	LDC	710	Escherichia sp. E1130	4.1.1.18	PF01276	Yes	Yes	tr|A0A5F1HTE9|A0A5F1HTE9_9ESCH lysine decarboxylase OS=Escherichia sp. E1130 OX=2041645 GN=CQJ27_25020 PE=3 SV=1
tr|A0A5F1ETV4|A0A5F1ETV4_9ESCH	LDC	710	Escherichia sp. E3659	4.1.1.18	PF01276	Yes	Yes	tr|A0A5F1ETV4|A0A5F1ETV4_9ESCH lysine decarboxylase OS=Escherichia sp. E3659 OX=2044462 GN=FEK47_23580 PE=3 SV=1
tr|A0A3L0VYI9|A0A3L0VYI9_ECOLX	LDC	710	Escherichia coli	4.1.1.18	PF01276	Yes	Yes	tr|A0A3L0VYI9|A0A3L0VYI9_ECOLX lysine decarboxylase OS=Escherichia coli OX=562 GN=D9F05_06235 PE=3 SV=1
tr|A0A090UZB3|A0A090UZB3_PSEVU	LDC	712	Pseudescherichia vulneris NBRC 102420	4.1.1.18	PF01276	Yes	Yes	tr|A0A090UZB3|A0A090UZB3_PSEVU lysine decarboxylase OS=Pseudescherichia vulneris NBRC 102420 OX=1115515 GN=ldcC PE=3 SV=1
tr|W1EWV1|W1EWV1_ECOLX	LDC	713	Escherichia coli ISC7	4.1.1.18	PF01276	Yes	Yes	tr|W1EWV1|W1EWV1_ECOLX lysine decarboxylase OS=Escherichia coli ISC7 OX=1432555 PE=3 SV=1
tr|B7N853|B7N853_ECOLU	LDC	713	Escherichia coli O17:K52:H18 (strain UMN026 / ExPEC)	4.1.1.18	PF01276	Yes	Yes	tr|B7N853|B7N853_ECOLU lysine decarboxylase OS=Escherichia coli O17:K52:H18 (strain UMN026 / ExPEC) OX=585056 GN=ldcC PE=3 SV=1
tr|B7MP46|B7MP46_ECO81	LDC	713	Escherichia coli O81 (strain ED1a)	4.1.1.18	PF01276	Yes	Yes	tr|B7MP46|B7MP46_ECO81 lysine decarboxylase OS=Escherichia coli O81 (strain ED1a) OX=585397 GN=ldcC PE=3 SV=1
tr|B7MBG7|B7MBG7_ECO45	LDC	713	Escherichia coli O45:K1 (strain S88 / ExPEC)	4.1.1.18	PF01276	Yes	Yes	tr|B7MBG7|B7MBG7_ECO45 lysine decarboxylase OS=Escherichia coli O45:K1 (strain S88 / ExPEC) OX=585035 GN=ldcC PE=3 SV=1
tr|B1LGY8|B1LGY8_ECOSM	LDC	713	Escherichia coli (strain SMS-3-5 / SECEC)	4.1.1.18	PF01276	Yes	Yes	tr|B1LGY8|B1LGY8_ECOSM lysine decarboxylase OS=Escherichia coli (strain SMS-3-5 / SECEC) OX=439855 GN=ldcC1 PE=3 SV=1
tr|A0AAV3H1L8|A0AAV3H1L8_ECOLX	LDC	713	Escherichia coli EC1870	1870	PF01276	Yes	Yes	tr|A0AAV3H1L8|A0AAV3H1L8_ECOLX lysine decarboxylase OS=Escherichia coli EC1870 OX=1005554 GN=ldcC1 PE=3 SV=1
tr|A0AAP9MPX1|A0AAP9MPX1_ECOLX	LDC	713	Escherichia coli O121	4.1.1.18	PF01276	Yes	Yes	tr|A0AAP9MPX1|A0AAP9MPX1_ECOLX lysine decarboxylase OS=Escherichia coli O121 OX=1055537 GN=ldcC PE=3 SV=1
tr|A0AAN4T003|A0AAN4T003_ECOLX	LDC	713	Escherichia coli 1-250-04_S3_C1	4.1.1.18	PF01276	Yes	Yes	tr|A0AAN4T003|A0AAN4T003_ECOLX lysine decarboxylase OS=Escherichia coli 1-250-04_S3_C1 OX=1444135 GN=ldcC PE=3 SV=1
tr|A0AAN3V1A5|A0AAN3V1A5_ECOLX	LDC	713	Escherichia coli 4.0967	40967	PF01276	Yes	Yes	tr|A0AAN3V1A5|A0AAN3V1A5_ECOLX lysine decarboxylase OS=Escherichia coli 4.0967 OX=869687 GN=EC40967_0196 PE=3 SV=1
tr|A0AAN3Q342|A0AAN3Q342_ECOLX	LDC	713	Escherichia coli	4.1.1.18	PF01276	Yes	Yes	tr|A0AAN3Q342|A0AAN3Q342_ECOLX lysine decarboxylase OS=Escherichia coli OX=562 GN=ldcC PE=3 SV=1
tr|A0AAJ2Y4Q7|A0AAJ2Y4Q7_ECOLX	LDC	713	Escherichia coli	4.1.1.18	PF01276	Yes	Yes	tr|A0AAJ2Y4Q7|A0AAJ2Y4Q7_ECOLX lysine decarboxylase OS=Escherichia coli OX=562 GN=ldcC PE=3 SV=1
tr|A0AAI9BA44|A0AAI9BA44_ECOLX	LDC	713	Escherichia coli	4.1.1.18	PF01276	Yes	Yes	tr|A0AAI9BA44|A0AAI9BA44_ECOLX lysine decarboxylase OS=Escherichia coli OX=562 GN=ldcC PE=3 SV=1
tr|A0AAD2RZ77|A0AAD2RZ77_ECOLX	LDC	713	Escherichia coli O6	4.1.1.18	PF01276	Yes	Yes	tr|A0AAD2RZ77|A0AAD2RZ77_ECOLX lysine decarboxylase OS=Escherichia coli O6 OX=217992 GN=EIG44_01705 PE=3 SV=1
tr|A0AA36P6J4|A0AA36P6J4_ECOLX	LDC	713	Escherichia coli O25b:H4-ST131	4.1.1.18	PF01276	Yes	Yes	tr|A0AA36P6J4|A0AA36P6J4_ECOLX lysine decarboxylase OS=Escherichia coli O25b:H4-ST131 OX=941322 GN=ldcC PE=3 SV=1
tr|A0A8T6QEE6|A0A8T6QEE6_ECOLX	LDC	713	Escherichia coli	4.1.1.18	PF01276	Yes	Yes	tr|A0A8T6QEE6|A0A8T6QEE6_ECOLX lysine decarboxylase OS=Escherichia coli OX=562 GN=ldcC PE=3 SV=1
tr|A0A8S7XAP2|A0A8S7XAP2_ECOLX	LDC	713	Escherichia coli	4.1.1.18	PF01276	Yes	Yes	tr|A0A8S7XAP2|A0A8S7XAP2_ECOLX lysine decarboxylase OS=Escherichia coli OX=562 GN=ldcC PE=3 SV=1
tr|A0A8S7SFB6|A0A8S7SFB6_ECOLX	LDC	713	Escherichia coli	4.1.1.18	PF01276	Yes	Yes	tr|A0A8S7SFB6|A0A8S7SFB6_ECOLX lysine decarboxylase OS=Escherichia coli OX=562 GN=ldcC PE=3 SV=1
tr|A0A8S7EC57|A0A8S7EC57_ECOLX	LDC	713	Escherichia coli	57	PF01276	Yes	Yes	tr|A0A8S7EC57|A0A8S7EC57_ECOLX lysine decarboxylase OS=Escherichia coli OX=562 GN=ldcC PE=3 SV=1
tr|A0A8S7BET3|A0A8S7BET3_ECOLX	LDC	713	Escherichia coli	4.1.1.18	PF01276	Yes	Yes	tr|A0A8S7BET3|A0A8S7BET3_ECOLX lysine decarboxylase OS=Escherichia coli OX=562 GN=ldcC PE=3 SV=1
tr|A0A8B3LY73|A0A8B3LY73_ECOLX	LDC	713	Escherichia coli	4.1.1.18	PF01276	Yes	Yes	tr|A0A8B3LY73|A0A8B3LY73_ECOLX lysine decarboxylase OS=Escherichia coli OX=562 GN=CIG67_16665 PE=3 SV=1
tr|A0A828UA72|A0A828UA72_ECOLX	LDC	713	Escherichia coli DEC2D	2	PF01276	Yes	Yes	tr|A0A828UA72|A0A828UA72_ECOLX lysine decarboxylase OS=Escherichia coli DEC2D OX=868141 GN=ECDEC2D_0324 PE=3 SV=1
tr|A0A828LBJ7|A0A828LBJ7_ECOLX	LDC	713	Escherichia coli	4.1.1.18	PF01276	Yes	Yes	tr|A0A828LBJ7|A0A828LBJ7_ECOLX lysine decarboxylase OS=Escherichia coli OX=562 GN=ldcC PE=3 SV=1
tr|A0A7W3ENM5|A0A7W3ENM5_ESCFE	LDC	713	Escherichia fergusonii	4.1.1.18	PF01276	Yes	Yes	tr|A0A7W3ENM5|A0A7W3ENM5_ESCFE lysine decarboxylase OS=Escherichia fergusonii OX=564 GN=ldcC PE=3 SV=1
tr|A0A7B2P454|A0A7B2P454_ECOLX	LDC	713	Escherichia coli	4.1.1.18	PF01276	Yes	Yes	tr|A0A7B2P454|A0A7B2P454_ECOLX lysine decarboxylase OS=Escherichia coli OX=562 GN=ldcC PE=3 SV=1
tr|A0A6D0FWI8|A0A6D0FWI8_ECOLX	LDC	713	Escherichia coli	4.1.1.18	PF01276	Yes	Yes	tr|A0A6D0FWI8|A0A6D0FWI8_ECOLX lysine decarboxylase OS=Escherichia coli OX=562 GN=ldcC PE=3 SV=1
tr|A0A5B9AL72|A0A5B9AL72_ECOLX	LDC	713	Escherichia coli	4.1.1.18	PF01276	Yes	Yes	tr|A0A5B9AL72|A0A5B9AL72_ECOLX lysine decarboxylase OS=Escherichia coli OX=562 GN=ldcC PE=3 SV=1
tr|A0A3R0MUJ9|A0A3R0MUJ9_ECOLX	LDC	713	Escherichia coli	4.1.1.18	PF01276	Yes	Yes	tr|A0A3R0MUJ9|A0A3R0MUJ9_ECOLX lysine decarboxylase OS=Escherichia coli OX=562 GN=ldcC PE=3 SV=1
tr|A0A3K0JR06|A0A3K0JR06_ECOLX	LDC	713	Escherichia coli	4.1.1.18	PF01276	Yes	Yes	tr|A0A3K0JR06|A0A3K0JR06_ECOLX lysine decarboxylase OS=Escherichia coli OX=562 GN=D9J61_11595 PE=3 SV=1
tr|A0A377FDI4|A0A377FDI4_ECOLX	LDC	713	Escherichia coli	4.1.1.18	PF01276	Yes	Yes	tr|A0A377FDI4|A0A377FDI4_ECOLX lysine decarboxylase OS=Escherichia coli OX=562 GN=ldcC PE=3 SV=1
tr|A0A376PZW7|A0A376PZW7_ECOLX	LDC	713	Escherichia coli	4.1.1.18	PF01276	Yes	Yes	tr|A0A376PZW7|A0A376PZW7_ECOLX lysine decarboxylase OS=Escherichia coli OX=562 GN=ldcC PE=3 SV=1
tr|A0A376LIK0|A0A376LIK0_ECOLX	LDC	713	Escherichia coli	4.1.1.18	PF01276	Yes	Yes	tr|A0A376LIK0|A0A376LIK0_ECOLX lysine decarboxylase OS=Escherichia coli OX=562 GN=ldcC PE=3 SV=1
tr|A0A370QPM7|A0A370QPM7_9GAMM	LDC	713	Enterobacillus tribolii	4.1.1.18	PF01276	Yes	Yes	tr|A0A370QPM7|A0A370QPM7_9GAMM lysine decarboxylase OS=Enterobacillus tribolii OX=1487935 GN=C8D90_10516 PE=3 SV=1
